"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"1","5 STAR CHOCOLATE 10/-","482","PCS","10.0","9.09","4058.18","Confectionery","8.45","18.34","1.55","744.0","9.92","9.84","17.4","16.45","","","","","","","7622202318078.0"
"2","ALL OUT MACHINE 105/-","62","PCS","105.0","83.0","4980.0","Home Care","83.0","26.51","22.0","1320.0","103.9","102.8","25.18","23.86","","","","","","","8906006435773.0"
"3","ALL OUT REFIL 85/-","60","PCS","85.0","65.0","3900.0","Home Care","65.0","30.77","20.0","1200.0","80.75","76.5","29.23","27.69","","","","","","","8906006430419.0"
"4","ALMOND DROP OIL 200ML","30","PCS","150.0","136.36","3599.9","Personal Care","120.0","25.0","30.0","900.0","148.5","147.0","23.75","22.5","","","","","","","8906014765978.0"
"5","ALMOND DROP OIL 100ML","39","PCS","75.0","68.18","2339.94","Personal Care","60.0","25.0","15.0","585.0","74.25","73.5","23.75","22.5","","","","","","","8906014765961.0"
"6","ALMOND DROP OIL 300ML","24","PCS","215.0","195.45","4127.9","Personal Care","172.0","25.0","43.0","1032.0","212.85","210.7","23.75","22.5","","","","","","","8906014765985.0"
"7","ALMOND DROP OIL 50ML","84","PCS","39.0","35.45","2620.46","Personal Care","31.2","25.0","7.8","655.2","38.61","38.22","23.75","22.5","","","","","","","8906014765947.0"
"8","ALMOND DROP OIL 475ML","10","PCS","340.0","309.09","3263.99","Personal Care","272.0","25.0","68.0","816.0","336.6","333.2","23.75","22.5","","","","","","","8906014765992.0"
"9","AMUL GHEE 1KG","12","PCS","650.0","565.0","6780.0","Food & Grocery","565.0","15.04","85.0","1020.0","645.75","641.5","14.29","13.54","","","","","","","8901262030700.0"
"10","ARIEL 1KG","24","PCS","138.0","127.77","2790.5","Home Care","116.27","18.69","21.73","521.52","136.91","135.83","17.75","16.82","","","","","","","4987176069696.0"
"11","ARIEL 500GM","48","PCS","72.0","66.66","2911.71","Home Care","60.66","18.69","11.34","544.32","71.43","70.87","17.75","16.83","","","","","","","4987176108630.0"
"12","ARIEL POWDER 10/-","46","PCS","10.0","10.0","460.0","Home Care","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","4987176296559.0"
"13","AYUR SHAMPOO 500ML","18","PCS","200.0","200.0","2412.0","Personal Care","134.0","49.25","66.0","1188.0","196.7","193.4","46.79","44.33","","","","","","","808042000435.0"
"14","AYUR SHAMPOO 1KG","6","PCS","350.0","350.0","1407.0","Personal Care","234.5","49.25","115.5","693.0","344.22","338.45","46.79","44.33","","","","","","","8904135205014.0"
"15","BOURNVITA 30/-","192","PCS","30.0","27.78","4747.05","Health Drinks","24.72","21.36","5.28","1013.76","29.74","29.47","20.31","19.22","","","","","","","7622202237393.0"
"16","BOURNVITA JAR 500GM","15","PCS","285.0","263.89","3602.1","Health Drinks","240.14","18.68","44.86","672.9","282.76","280.51","17.75","16.81","","","","","","","7622202309908.0"
"17","BOURNVITA REFIL 400GM","40","PCS","199.0","184.26","6707.06","Health Drinks","167.68","18.68","31.32","1252.8","197.43","195.87","17.74","16.81","","","","","","","7622202304798.0"
"18","BRITANIA 50-50 BISCUIT 10/-","108","PCS","10.0","8.43","910.0","Biscuits","8.43","18.62","1.57","169.56","9.92","9.84","17.67","16.73","","","","","","","8901063016873.0"
"19","BRITANIA BOURBON BISCUIT 10/-","117","PCS","10.0","10.0","1170.0","Biscuits","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901063139329.0"
"20","BRITANIA MARIE GOLD 10/-","86","PCS","10.0","8.49","815.0","Biscuits","8.49","17.79","1.51","144.96","9.92","9.85","16.84","16.02","","","","","","","8901063162914.0"
"21","BRITANIA TIGER 80G 10/-","106","PCS","10.0","8.43","910.0","Biscuits","8.43","18.62","1.57","169.56","9.92","9.84","17.67","16.73","","","","","","","8901063155534.0"
"22","BRITANNIA 50-50 5/-","144","PCS","5.0","4.27","615.0","Biscuits","4.27","17.1","0.73","105.12","4.96","4.93","16.16","15.46","","","","","","","8901063016941.0"
"23","BRU COFFEE 2/-","1152","PCS","2.0","1.69","1950.0","Beverages","1.69","18.34","0.31","357.12","1.98","1.97","17.16","16.57","","","","","","",""
"24","CHERRY LIQUID 135/-","12","PCS","135.0","135.0","1344.6","Home Care","112.05","20.48","22.95","275.4","133.85","132.7","19.46","18.43","","","","","","","8901396055006.0"
"25","CHERRY POLISH BIG 93/-","9","PCS","93.0","93.0","926.28","Home Care","77.19","20.48","15.81","189.72","92.21","91.42","19.46","18.44","","","","","","","8901396051008.0"
"26","CINTHOL FRESH 10/-","216","PCS","10.0","9.26","1880.15","Personal Care","8.7","14.94","1.3","280.8","9.93","9.87","14.14","13.45","","","","","","","8901023028502.0"
"27","CINTHOL FRESH SMALL 115/-","50","PCS","115.0","106.48","5111.04","Personal Care","102.22","12.5","12.78","639.0","114.36","113.72","11.88","11.25","","","","","","","8901023003622.0"
"28","CLINIC POUCH 1/-","960","PCS","1.0","0.72","695.0","Personal Care","0.72","38.89","0.28","268.8","0.99","0.97","37.5","34.72","","","","","","","8909106046351.0"
"29","CLINIC POUCH 1/- EGG","960","PCS","1.0","0.72","695.0","Personal Care","0.72","38.89","0.28","268.8","0.99","0.97","37.5","34.72","","","","","","","8909106041875.0"
"30","CLINIC SHAMPOO 100ML","35","PCS","64.0","58.18","1832.67","Personal Care","52.36","22.23","11.64","407.4","63.42","62.84","21.12","20.02","","","","","","","8901030937163"
"31","CLINIC SHAMPOO 200ML","24","PCS","179.0","162.73","3514.97","Personal Care","146.46","22.22","32.54","780.96","177.37","175.75","21.1","20.0","","","","","","","8901030937170.0"
"32","CLINIC SHAMPOO 400ML","15","PCS","393.0","248.0","3720.0","Personal Care","248.0","58.47","145.0","2175.0","385.75","378.5","55.54","52.62","","","","","","","8901030937187.0"
"33","CLOSEUP 10/-","288","PCS","10.0","7.64","2200.0","Personal Care","7.64","30.89","2.36","679.68","9.88","9.76","29.32","27.75","","","","","","","8909106049062.0"
"34","CLOSEUP 100GM 85/-","72","PCS","85.0","77.27","4005.68","Personal Care","55.63","52.8","29.37","2114.64","83.53","82.06","50.15","47.51","","","","","","","8906073148033.0"
"35","CLOSEUP 150GM 140/-","36","PCS","140.0","127.27","3298.84","Personal Care","91.63","52.79","48.37","1741.32","137.58","135.16","50.15","47.51","","","","","","","8906073148040.0"
"36","CLOSEUP 50GM 20/-","144","PCS","20.0","18.18","2356.13","Personal Care","16.36","22.25","3.64","524.16","19.82","19.64","21.15","20.05","","","","","","","8909106049079.0"
"37","COLGATE BRUSH 20/-","264","PCS","20.0","105.23","2736.0","Personal Care","10.36","-80.99","-85.23","-2215.98","19.0","18.0","-76.95","-72.9","","","","","","","8901314200037.0"
"38","COLGATE MAX FRESH 10/-","220","PCS","10.0","10.0","2200.0","Personal Care","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901314786531.0"
"39","COLGATE PASTE 50GM 20/-","288","PCS","20.0","18.18","4712.26","Personal Care","16.36","22.25","3.64","1048.32","19.82","19.64","21.15","20.05","","","","","","","8901314717429.0"
"40","COLGATE PASTE 100GM 76/-","144","PCS","76.0","69.09","9153.04","Personal Care","63.56","19.57","12.44","1791.36","75.38","74.76","18.6","17.62","","","","","","","8901314765352.0"
"41","COLGATE PASTE 200GM 149/-","72","PCS","149.0","135.45","9167.26","Personal Care","127.32","17.03","21.68","1560.96","147.92","146.83","16.18","15.32","","","","","","","8901314765314.0"
"42","COLGATE WHITE 10/-","220","PCS","10.0","10.0","2200.0","Personal Care","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901314786241.0"
"43","COLIN BIG 115/-","23","PCS","115.0","104.55","2404.65","Home Care","96.19","19.56","18.81","470.25","114.06","113.12","18.58","17.6","","","","","","","8901396476146.0"
"44","DABUR AMLA 10/-","480","PCS","10.0","9.09","3316.03","Personal Care","6.91","44.72","3.09","1483.2","9.85","9.69","42.55","40.23","","","","","","",""
"45","DABUR AMLA OIL 500ML","32","PCS","225.0","204.55","5367.39","Personal Care","167.73","34.14","57.27","1832.64","222.14","219.27","32.44","30.73","","","","","","","8901207050466.0"
"46","DABUR AMLA OIL 300ML","36","PCS","149.0","135.45","4096.01","Personal Care","113.78","30.95","35.22","1267.92","147.24","145.48","29.41","27.86","","","","","","","8901207047947.0"
"47","DABUR AMLA OIL 50ML","240","PCS","20.0","18.18","3316.03","Personal Care","13.82","44.72","6.18","1483.2","19.69","19.38","42.47","40.23","","","","","","","89008720.0"
"48","DABUR AMLA OIL 100ML","84","PCS","55.0","50.0","3528.0","Personal Care","42.0","30.95","13.0","1092.0","54.35","53.7","29.4","27.86","","","","","","","8901207047923.0"
"49","DABUR RED PASTE 10/-","288","PCS","10.0","9.09","2094.34","Personal Care","7.27","37.55","2.73","786.24","9.86","9.73","35.63","33.84","","","","","","","8901207046438.0"
"50","DABUR RED PASTE 50GM","288","PCS","20.0","18.18","4607.54","Personal Care","16.0","25.0","4.0","1152.0","19.8","19.6","23.75","22.5","","","","","","","8901207049644.0"
"51","DABUR RED PASTE 100GM","72","PCS","85.0","77.27","4005.68","Personal Care","55.63","52.8","29.37","2114.64","83.53","82.06","50.15","47.51","","","","","","","8901888003713.0"
"52","DABUR SARSO OIL 100ML","144","PCS","20.0","18.18","2094.34","Cooking Oil","14.54","37.55","5.46","786.24","19.73","19.45","35.69","33.77","","","","","","",""
"53","DABUR SARSO OIL 50ML","288","PCS","10.0","9.09","2094.34","Cooking Oil","7.27","37.55","2.73","786.24","9.86","9.73","35.63","33.84","","","","","","",""
"54","DAIRY MILK 10/-","672","PCS","10.0","9.09","5681.44","Confectionery","8.45","18.34","1.55","1041.6","9.92","9.84","17.4","16.45","","","","","","","7622202334009.0"
"55","DENVER DEO 230/-","36","PCS","230.0","122.0","4392.0","Personal Care","122.0","88.52","108.0","3888.0","224.6","219.2","84.1","79.67","","","","","","","8901450003394.0"
"56","DETTOL LIQUID 50ML","100","PCS","40.24","40.24","3339.92","Healthcare","33.4","20.48","6.84","684.0","39.9","39.56","19.46","18.44","","","","","","","8901396350101.0"
"57","DETTOL LIQUID 110ML","96","PCS","80.52","80.52","6415.83","Healthcare","66.83","20.48","13.69","1314.24","79.84","79.15","19.47","18.43","","","","","","","8901396350200.0"
"58","DETTOL POUCH 1L","16","PCS","109.0","99.09","1458.6","Healthcare","91.16","19.57","17.84","285.44","108.11","107.22","18.59","17.62","","","","","","","8901396389675.0"
"59","DETTOL POUCH 140/-","20","PCS","140.0","127.27","2341.77","Healthcare","117.09","19.57","22.91","458.2","138.85","137.71","18.58","17.61","","","","","","","8901396388371.0"
"60","DETTOL PUMP 129/-","24","PCS","129.0","117.27","2589.32","Healthcare","107.89","19.57","21.11","506.64","127.94","126.89","18.58","17.61","","","","","","","8901396602552.0"
"61","DETTOL SOAP 195/- ORIGINAL","36","PCS","195.0","180.56","5785.14","Personal Care","160.7","21.34","34.3","1234.8","193.28","191.57","20.27","19.21","","","","","","","8901396602088.0"
"62","DETTOL SOAP 195/- COOL","36","PCS","195.0","180.56","5785.14","Personal Care","160.7","21.34","34.3","1234.8","193.28","191.57","20.27","19.21","","","","","","","8901396602125.0"
"63","DETTOL SOAP BIG 232/- COOL","30","PCS","232.0","214.81","5735.43","Personal Care","191.18","21.35","40.82","1224.6","229.96","227.92","20.28","19.22","","","","","","","8901396602132.0"
"64","DETTOL SOAP BIG 232/- ORIGINAL","30","PCS","232.0","214.81","5735.43","Personal Care","191.18","21.35","40.82","1224.6","229.96","227.92","20.28","19.22","","","","","","","8901396602095.0"
"65","DOVE POUCH 5/-","384","PCS","5.0","2.99","1150.0","Personal Care","2.99","67.22","2.01","771.84","4.9","4.8","63.88","60.54","","","","","","","8909106002807.0"
"66","DOVE POUCH 2/-","640","PCS","2.0","2.0","1280.0","Personal Care","2.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","","","","","","","8901030996375.0"
"67","DOVE SET 160/-","24","PCS","160.0","148.15","3271.15","Personal Care","136.3","17.39","23.7","568.8","158.82","157.63","16.52","15.65","","","","","","","8901030838552"
"68","DOVE SET 249/-","20","PCS","249.0","199.0","3980.0","Personal Care","199.0","25.13","50.0","1000.0","246.5","244.0","23.87","22.61","","","","","","","8901030833960.0"
"69","DOVE SHAMPOO 200ML HF","9","PCS","246.0","223.64","1811.48","Personal Care","201.28","22.22","44.72","402.48","243.76","241.53","21.1","20.0","","","","","","",""
"70","DOVE SHAMPOO 100ML HR","24","PCS","102.0","92.73","2002.97","Personal Care","83.46","22.21","18.54","444.96","101.07","100.15","21.1","20.0","","","","","","","8909106036048.0"
"71","DOVE SHAMPOO 400ML HF","15","PCS","490.0","300.0","4500.0","Personal Care","300.0","63.33","190.0","2850.0","480.5","471.0","60.17","57.0","","","","","","","8909106035683.0"
"72","DOVE SHAMPOO 400ML DS","3","PCS","490.0","300.0","900.0","Personal Care","300.0","63.33","190.0","570.0","480.5","471.0","60.17","57.0","","","","","","","8909106035690.0"
"73","DOVE SHAMPOO 200ML DS","9","PCS","246.0","223.64","1811.48","Personal Care","201.28","22.22","44.72","402.48","243.76","241.53","21.1","20.0","","","","","","","8909106035751.0"
"74","DOVE SOAP 25/-","72","PCS","25.0","23.15","1583.46","Personal Care","21.99","13.69","3.01","216.72","24.85","24.7","13.01","12.32","","","","","","","8901030712999.0"
"75","DOVE SOAP 65/-","60","PCS","65.0","60.19","3322.49","Personal Care","55.37","17.39","9.63","577.8","64.52","64.04","16.53","15.66","","","","","","","8901030795589.0"
"76","DURACELL AA 22/-","78","PCS","22.0","19.87","1550.0","Electronics","19.87","10.72","2.13","166.14","21.89","21.79","10.17","9.66","","","","","","","5000394079700.0"
"77","DURACELL AAA 22/-","70","PCS","22.0","22.14","1550.0","Electronics","22.14","-0.63","-0.14","-9.8","22.01","22.01","-0.59","-0.59","","","","","","","5000394083912.0"
"78","ENO POUCH 11/-","490","PCS","11.0","11.02","5400.0","Healthcare","11.02","-0.18","-0.02","-9.8","11.0","11.0","-0.18","-0.18","","","","","","","8901571006854.0"
"79","EVEREADY PENCIL AA 18/-","67","PCS","18.0","17.91","1200.0","Electronics","17.91","0.5","0.09","6.03","18.0","17.99","0.5","0.45","","","","","","","8901691000633.0"
"80","EVEREADY AAA 18/-","66","PCS","18.0","17.88","1180.0","Electronics","17.88","0.67","0.12","7.92","17.99","17.99","0.62","0.62","","","","","","","8901691000824.0"
"81","EXO TUB 500GM","36","PCS","60.0","55.56","1660.13","Home Care","46.11","30.12","13.89","500.04","59.31","58.61","28.63","27.11","","","","","","","8902102163633.0"
